time,m_dot,cost_eur
2021-01-01 00:00:00+00:00,80.0,63794.82159251357
2021-01-01 01:00:00+00:00,80.0,63794.07391597087
2021-01-01 02:00:00+00:00,80.0,63793.548523938305
2021-01-01 03:00:00+00:00,80.0,63793.56873132417
2021-01-01 04:00:00+00:00,80.0,63794.235575057806
2021-01-01 05:00:00+00:00,80.0,63795.00345572079
2021-01-01 06:00:00+00:00,80.0,63795.99361762831
2021-01-01 07:00:00+00:00,80.0,63795.93299547071
2021-01-01 08:00:00+00:00,80.0,63796.276521030464
2021-01-01 09:00:00+00:00,75.0,59816.29833880211
2021-01-01 10:00:00+00:00,65.0,51848.91163430094
2021-01-01 11:00:00+00:00,65.0,51851.77088182809
2021-01-01 12:00:00+00:00,60.0,47864.27071797303
2021-01-01 13:00:00+00:00,60.0,47864.5420077709
2021-01-01 14:00:00+00:00,55.0,43880.91704077997
2021-01-01 15:00:00+00:00,40.0,31918.61695345503
2021-01-01 16:00:00+00:00,10.0,7982.193271155648
2021-01-01 17:00:00+00:00,10.0,7981.592096837827
2021-01-01 18:00:00+00:00,10.0,7982.281679143563
2021-01-01 19:00:00+00:00,10.0,7982.079603742615
2021-01-01 20:00:00+00:00,45.0,35907.41742945774
2021-01-01 21:00:00+00:00,55.0,43880.6102141631
2021-01-01 22:00:00+00:00,80.0,63797.42834202493
2021-01-01 23:00:00+00:00,80.0,63797.32730509559
2021-01-02 00:00:00+00:00,80.0,63795.95320285657
2021-01-02 01:00:00+00:00,80.0,63795.60967729682
2021-01-02 02:00:00+00:00,80.0,63795.44801820988
2021-01-02 03:00:00+00:00,80.0,63795.56926252509
2021-01-02 04:00:00+00:00,80.0,63795.97341024244
2021-01-02 05:00:00+00:00,80.0,63806.33979919264
2021-01-02 06:00:00+00:00,80.0,63798.53974824766
2021-01-02 07:00:00+00:00,60.0,47867.9466947342
2021-01-02 08:00:00+00:00,55.0,43883.83803017257
2021-01-02 09:00:00+00:00,50.0,39897.19720246043
2021-01-02 10:00:00+00:00,50.0,39897.363271892595
2021-01-02 11:00:00+00:00,45.0,35910.32943830528
2021-01-02 12:00:00+00:00,50.0,39897.19720246043
2021-01-02 13:00:00+00:00,55.0,43885.83853971456
2021-01-02 14:00:00+00:00,50.0,39898.75825512275
2021-01-02 15:00:00+00:00,10.0,7983.074822131128
2021-01-02 16:00:00+00:00,10.0,7983.486551692963
2021-01-02 17:00:00+00:00,10.0,7983.751774589525
2021-01-02 18:00:00+00:00,40.0,31922.558335951242
2021-01-02 19:00:00+00:00,45.0,35911.58170894274
2021-01-02 20:00:00+00:00,50.0,39899.24539212376
2021-01-02 21:00:00+00:00,55.0,43882.95436951598
2021-01-02 22:00:00+00:00,65.0,51852.53435013813
2021-01-02 23:00:00+00:00,80.0,63796.68067213679
2021-01-03 00:00:00+00:00,80.0,63795.306569806584
2021-01-03 01:00:00+00:00,80.0,63793.831430540326
2021-01-03 02:00:00+00:00,80.0,63793.24541315029
2021-01-03 03:00:00+00:00,80.0,63793.083754063344
2021-01-03 04:00:00+00:00,80.0,63793.81121995459
2021-01-03 05:00:00+00:00,80.0,63794.21536444659
2021-01-03 06:00:00+00:00,80.0,63795.73091828609
2021-01-03 07:00:00+00:00,80.0,63796.07444382305
2021-01-03 08:00:00+00:00,80.0,63797.448549410794
2021-01-03 09:00:00+00:00,70.0,55837.93978742501
2021-01-03 10:00:00+00:00,70.0,55838.0884575465
2021-01-03 11:00:00+00:00,70.0,55838.25365089225
2021-01-03 12:00:00+00:00,75.0,59827.7768122368
2021-01-03 13:00:00+00:00,75.0,59826.38990652267
2021-01-03 14:00:00+00:00,70.0,55838.138014253665
2021-01-03 15:00:00+00:00,65.0,51858.177991470075
2021-01-03 16:00:00+00:00,65.0,51859.85461829228
2021-01-03 17:00:00+00:00,65.0,51858.20793123476
2021-01-03 18:00:00+00:00,65.0,51856.86064182406
2021-01-03 19:00:00+00:00,70.0,55838.451873399026
2021-01-03 20:00:00+00:00,75.0,59825.00299643445
2021-01-03 21:00:00+00:00,80.0,63798.51954086179
2021-01-03 22:00:00+00:00,80.0,63795.97341024244
2021-01-03 23:00:00+00:00,80.0,63795.44801820988
2021-01-04 00:00:00+00:00,80.0,63794.21536767194
2021-01-04 01:00:00+00:00,80.0,63793.87184211219
2021-01-04 02:00:00+00:00,80.0,63794.174952900205
2021-01-04 03:00:00+00:00,80.0,63795.28635912294
2021-01-04 04:00:00+00:00,80.0,63797.832489742286
2021-01-04 05:00:00+00:00,80.0,63802.62164019296
2021-01-04 06:00:00+00:00,55.0,43886.18218552546
2021-01-04 07:00:00+00:00,50.0,39901.260372462086
2021-01-04 08:00:00+00:00,50.0,39902.66642709418
2021-01-04 09:00:00+00:00,50.0,39902.78821135365
2021-01-04 10:00:00+00:00,45.0,35914.82170025993
2021-01-04 11:00:00+00:00,45.0,35914.0763034845
2021-01-04 12:00:00+00:00,50.0,39903.5964112464
2021-01-04 13:00:00+00:00,45.0,35914.543418797104
2021-01-04 14:00:00+00:00,45.0,35914.58317329179
2021-01-04 15:00:00+00:00,40.0,31926.393441407057
2021-01-04 16:00:00+00:00,10.0,7984.676272644803
2021-01-04 17:00:00+00:00,40.0,31925.994874256896
2021-01-04 18:00:00+00:00,50.0,39900.49645301631
2021-01-04 19:00:00+00:00,70.0,55839.65775327331
2021-01-04 20:00:00+00:00,70.0,55840.99578436669
2021-01-04 21:00:00+00:00,80.0,63808.15846392075
2021-01-04 22:00:00+00:00,80.0,63800.88380867625
2021-01-04 23:00:00+00:00,80.0,63801.813348487856
2021-01-05 00:00:00+00:00,80.0,63801.08587886701
2021-01-05 01:00:00+00:00,80.0,63800.338209221605
2021-01-05 02:00:00+00:00,80.0,63800.45945354486
2021-01-05 03:00:00+00:00,80.0,63801.772933713444
2021-01-05 04:00:00+00:00,80.0,63805.854825929644
2021-01-05 05:00:00+00:00,75.0,59826.80962798879
2021-01-05 06:00:00+00:00,55.0,43890.94413461928
2021-01-05 07:00:00+00:00,45.0,35916.54108215524
2021-01-05 08:00:00+00:00,45.0,35916.66034563931
2021-01-05 09:00:00+00:00,40.0,31926.99571655375
2021-01-05 10:00:00+00:00,10.0,7983.979109370329
2021-01-05 11:00:00+00:00,40.0,31927.261427967074
2021-01-05 12:00:00+00:00,10.0,7983.936168356177
2021-01-05 13:00:00+00:00,10.0,7983.873019805954
2021-01-05 14:00:00+00:00,10.0,7983.991739080374
2021-01-05 15:00:00+00:00,10.0,7984.433778931939
2021-01-05 16:00:00+00:00,10.0,7984.772255161137
2021-01-05 17:00:00+00:00,45.0,35916.67028426298
2021-01-05 18:00:00+00:00,50.0,39901.526078992116
2021-01-05 19:00:00+00:00,70.0,55844.778617798824
2021-01-05 20:00:00+00:00,70.0,55842.82938717863
2021-01-05 21:00:00+00:00,80.0,63810.40149665082
2021-01-05 22:00:00+00:00,80.0,63804.642390531844
2021-01-05 23:00:00+00:00,80.0,63805.89524870509
2021-01-06 00:00:00+00:00,80.0,63803.65222842718
2021-01-06 01:00:00+00:00,80.0,63802.419577643814
2021-01-06 02:00:00+00:00,80.0,63802.15688157523
2021-01-06 03:00:00+00:00,80.0,63802.520610816726
2021-01-06 04:00:00+00:00,80.0,63804.218031454926
2021-01-06 05:00:00+00:00,80.0,63807.693702285535
2021-01-06 06:00:00+00:00,75.0,59826.37165776327
2021-01-06 07:00:00+00:00,70.0,55842.135593229075
2021-01-06 08:00:00+00:00,65.0,51856.00736309406
2021-01-06 09:00:00+00:00,60.0,47871.704058434734
2021-01-06 10:00:00+00:00,65.0,51861.08215357709
2021-01-06 11:00:00+00:00,60.0,47871.893961293245
2021-01-06 12:00:00+00:00,60.0,47873.440313141116
2021-01-06 13:00:00+00:00,55.0,43888.084510550056
2021-01-06 14:00:00+00:00,50.0,39901.791790083575
2021-01-06 15:00:00+00:00,45.0,35914.950902367666
2021-01-06 16:00:00+00:00,40.0,31925.8885856649
2021-01-06 17:00:00+00:00,50.0,39902.64427983534
2021-01-06 18:00:00+00:00,55.0,43886.783565694524
2021-01-06 19:00:00+00:00,70.0,55843.22584086409
2021-01-06 20:00:00+00:00,70.0,55843.374510996146
2021-01-06 21:00:00+00:00,70.0,55841.342685858144
2021-01-06 22:00:00+00:00,80.0,63811.29061308885
2021-01-06 23:00:00+00:00,65.0,51857.803749105755
