time,m_dot,cost_eur
2021-01-01 00:00:00+00:00,48.0,38109.237254212814
2021-01-01 01:00:00+00:00,48.0,38112.84247144248
2021-01-01 02:00:00+00:00,48.0,38116.56175318593
2021-01-01 03:00:00+00:00,48.0,38120.5648340886
2021-01-01 04:00:00+00:00,48.0,38124.904595054686
2021-01-01 05:00:00+00:00,48.0,38129.294408319016
2021-01-01 06:00:00+00:00,48.0,38133.79787947043
2021-01-01 07:00:00+00:00,48.0,38137.7468785862
2021-01-01 08:00:00+00:00,48.0,38141.90509096228
2021-01-01 09:00:00+00:00,48.0,38151.12718059708
2021-01-01 10:00:00+00:00,48.0,38162.64406524976
2021-01-01 11:00:00+00:00,48.0,38168.63471967039
2021-01-01 12:00:00+00:00,48.0,38174.229773987005
2021-01-01 13:00:00+00:00,48.0,38178.402096107784
2021-01-01 14:00:00+00:00,48.0,38187.315556109614
2021-01-01 15:00:00+00:00,48.0,38197.8864151579
2021-01-01 16:00:00+00:00,48.0,38205.72085711575
2021-01-01 17:00:00+00:00,48.0,38207.148200315954
2021-01-01 18:00:00+00:00,48.0,38213.98060283849
2021-01-01 19:00:00+00:00,48.0,38217.07472560325
2021-01-01 20:00:00+00:00,48.0,38216.65491408493
2021-01-01 21:00:00+00:00,48.0,38214.668982044124
2021-01-01 22:00:00+00:00,48.0,38197.90219478476
2021-01-01 23:00:00+00:00,48.0,38201.7848987903
2021-01-02 00:00:00+00:00,48.0,38204.999026131816
2021-01-02 01:00:00+00:00,48.0,38208.749524984174
2021-01-02 02:00:00+00:00,48.0,38212.59238699026
2021-01-02 03:00:00+00:00,48.0,38216.58036521658
2021-01-02 04:00:00+00:00,48.0,38220.71337910659
2021-01-02 05:00:00+00:00,48.0,38230.04859045992
2021-01-02 06:00:00+00:00,48.0,38229.88917810563
2021-01-02 07:00:00+00:00,48.0,38251.85987864312
2021-01-02 08:00:00+00:00,48.0,38260.567769584726
2021-01-02 09:00:00+00:00,48.0,38267.530324044405
2021-01-02 10:00:00+00:00,48.0,38271.58833927618
2021-01-02 11:00:00+00:00,48.0,38278.490819690225
2021-01-02 12:00:00+00:00,48.0,38279.221460184766
2021-01-02 13:00:00+00:00,48.0,38281.774255909724
2021-01-02 14:00:00+00:00,48.0,38288.487856320426
2021-01-02 15:00:00+00:00,48.0,38299.454661893185
2021-01-02 16:00:00+00:00,48.0,38305.05354997018
2021-01-02 17:00:00+00:00,48.0,38310.03810613485
2021-01-02 18:00:00+00:00,48.0,38308.23746580828
2021-01-02 19:00:00+00:00,48.0,38310.89009692905
2021-01-02 20:00:00+00:00,48.0,38312.22460669455
2021-01-02 21:00:00+00:00,48.0,38310.33672086889
2021-01-02 22:00:00+00:00,48.0,38306.23853216312
