time,m_dot,cost_eur
2021-01-01 00:00:00+00:00,80.0,63521.542281945076
2021-01-01 01:00:00+00:00,80.0,63520.79402548331
2021-01-01 02:00:00+00:00,80.0,63520.268225940046
2021-01-01 03:00:00+00:00,80.0,63520.2884489994
2021-01-01 04:00:00+00:00,80.0,63520.955806731465
2021-01-01 05:00:00+00:00,80.0,63521.72428293603
2021-01-01 06:00:00+00:00,80.0,63522.71521277878
2021-01-01 07:00:00+00:00,80.0,63522.65454360473
2021-01-01 08:00:00+00:00,80.0,63522.99833895313
2021-01-01 09:00:00+00:00,75.0,59560.10568982892
2021-01-01 10:00:00+00:00,65.0,51626.88429356349
2021-01-01 11:00:00+00:00,65.0,51629.74575801317
2021-01-01 12:00:00+00:00,60.0,47659.325291438945
2021-01-01 13:00:00+00:00,60.0,47659.59679153541
2021-01-01 14:00:00+00:00,55.0,43693.05452911345
2021-01-01 15:00:00+00:00,40.0,31781.9936873872
2021-01-01 16:00:00+00:00,10.0,7948.039396863453
2021-01-01 17:00:00+00:00,10.0,7947.437758054755
2021-01-01 18:00:00+00:00,10.0,7948.12787315885
2021-01-01 19:00:00+00:00,10.0,7947.925640705511
2021-01-01 20:00:00+00:00,45.0,35753.71546870841
2021-01-01 21:00:00+00:00,55.0,43692.747464687316
2021-01-01 22:00:00+00:00,80.0,63524.15105333644
2021-01-01 23:00:00+00:00,80.0,63524.04993803966
2021-01-02 00:00:00+00:00,80.0,63681.2564538629
2021-01-02 01:00:00+00:00,80.0,63680.91430842709
2021-01-02 02:00:00+00:00,80.0,63680.75329881024
2021-01-02 03:00:00+00:00,80.0,63680.874056022876
2021-01-02 04:00:00+00:00,80.0,63681.27658006501
2021-01-02 05:00:00+00:00,80.0,63691.60132174563
2021-01-02 06:00:00+00:00,80.0,63683.83260773253
2021-01-02 07:00:00+00:00,60.0,47781.83982475081
2021-01-02 08:00:00+00:00,55.0,43804.88709924093
2021-01-02 09:00:00+00:00,50.0,39825.412377300185
2021-01-02 10:00:00+00:00,50.0,39825.577779490945
2021-01-02 11:00:00+00:00,45.0,35845.71163270649
2021-01-02 12:00:00+00:00,50.0,39825.412377300185
2021-01-02 13:00:00+00:00,55.0,43806.87957125586
2021-01-02 14:00:00+00:00,50.0,39826.96715789333
2021-01-02 15:00:00+00:00,10.0,7968.703237098246
2021-01-02 16:00:00+00:00,10.0,7969.1133110073915
2021-01-02 17:00:00+00:00,10.0,7969.3774690470245
2021-01-02 18:00:00+00:00,40.0,31865.111176798775
2021-01-02 19:00:00+00:00,45.0,35846.95887183081
2021-01-02 20:00:00+00:00,50.0,39827.45233765289
2021-01-02 21:00:00+00:00,55.0,43804.00698890304
2021-01-02 22:00:00+00:00,65.0,51759.269622069354
2021-01-02 23:00:00+00:00,80.0,63681.9810005277
2021-01-03 00:00:00+00:00,80.0,63836.518861590965
2021-01-03 01:00:00+00:00,80.0,63835.0565292934
2021-01-03 02:00:00+00:00,80.0,63834.47560276423
2021-01-03 03:00:00+00:00,80.0,63834.31534401972
2021-01-03 04:00:00+00:00,80.0,63835.036494145585
2021-01-03 05:00:00+00:00,80.0,63835.437133104395
2021-01-03 06:00:00+00:00,80.0,63836.93952919994
2021-01-03 07:00:00+00:00,80.0,63837.28007231493
2021-01-03 08:00:00+00:00,80.0,63838.642244774885
2021-01-03 09:00:00+00:00,70.0,55873.852541768836
2021-01-03 10:00:00+00:00,70.0,55873.99992114295
2021-01-03 11:00:00+00:00,70.0,55874.163676003074
2021-01-03 12:00:00+00:00,75.0,59866.24249546959
2021-01-03 13:00:00+00:00,75.0,59864.867630858935
2021-01-03 14:00:00+00:00,70.0,55874.04904760099
2021-01-03 15:00:00+00:00,65.0,51891.45034253577
2021-01-03 16:00:00+00:00,65.0,51893.11241297612
2021-01-03 17:00:00+00:00,65.0,51891.48002236507
2021-01-03 18:00:00+00:00,65.0,51890.14443004692
2021-01-03 19:00:00+00:00,70.0,55874.360181835225
2021-01-03 20:00:00+00:00,75.0,59863.49276624828
2021-01-03 21:00:00+00:00,80.0,63839.70393801574
2021-01-03 22:00:00+00:00,80.0,63837.17991257522
2021-01-03 23:00:00+00:00,80.0,63836.65908192877
2021-01-04 00:00:00+00:00,80.0,63988.73762397386
2021-01-04 01:00:00+00:00,80.0,63988.39863938324
