surrogate,carbon_price_eur_per_t,baseline,n_seeds,mean_saving_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided
hard,0.0,horizon,10,0.002,0.0246,0.0078,-0.0132,0.0172,0.256,0.8037072434263397,0.625
hard,20.0,horizon,10,0.7107,0.2792,0.0883,0.5377,0.8838,8.049,2.107489873362473e-05,0.001953125
hard,40.0,horizon,10,1.5145,0.5614,0.1775,1.1665,1.8624,8.531,1.3197923032733157e-05,0.001953125
hard,60.0,horizon,10,2.1562,0.7036,0.2225,1.72,2.5923,9.69,4.647108180168674e-06,0.001953125
hard,80.0,horizon,10,2.5798,0.8542,0.2701,2.0503,3.1092,9.55,5.240835395524247e-06,0.001953125
hard,100.0,horizon,10,2.9769,0.9589,0.3032,2.3826,3.5712,9.818,4.1697167767655365e-06,0.001953125
hard,120.0,horizon,10,3.2336,1.0399,0.3288,2.5891,3.8781,9.834,4.113477854949734e-06,0.001953125
hard,160.0,horizon,10,3.5624,1.0994,0.3477,2.881,4.2438,10.247,2.9195699719339017e-06,0.001953125
hard,0.0,lagged,10,0.0082,0.0282,0.0089,-0.0092,0.0257,0.924,0.37977328966050206,0.6953125
hard,20.0,lagged,10,0.7126,0.2791,0.0883,0.5396,0.8856,8.073,2.0578758081806732e-05,0.001953125
hard,40.0,lagged,10,1.5164,0.5615,0.1775,1.1684,1.8644,8.541,1.307850552594391e-05,0.001953125
hard,60.0,lagged,10,2.158,0.7038,0.2226,1.7218,2.5943,9.696,4.622191470710208e-06,0.001953125
hard,80.0,lagged,10,2.5818,0.8541,0.2701,2.0524,3.1111,9.559,5.2037286741032e-06,0.001953125
hard,100.0,lagged,10,2.9788,0.9587,0.3032,2.3846,3.5731,9.825,4.142398395406364e-06,0.001953125
hard,120.0,lagged,10,3.2355,1.0397,0.3288,2.5911,3.8799,9.841,4.087919469056253e-06,0.001953125
hard,160.0,lagged,10,3.5642,1.0991,0.3476,2.883,4.2454,10.255,2.8999253795095304e-06,0.001953125
