aware,horizon,lagged,annual,constant,saving_vs_horizon_pct,saving_vs_lagged_pct,year,price_co2_eur_per_t
719244.2243864927,718807.4081379948,718814.1147903553,718811.028761436,841821.7385677835,-0.0607695807740015,-0.0598359975531179,2021,0.0
1917415.166082682,1916283.679304012,1916483.0000820076,1915128.9560603085,2215305.6523450003,-0.0590458913202737,-0.0486394087833994,2022,0.0
880419.0127894371,881197.577196102,881398.7145875175,881483.0646818669,1114789.8910438926,0.0883529899324341,0.1111530777009305,2023,0.0
684967.1099863887,685708.5334561536,685479.1768943634,685737.8222332469,989425.7160801858,0.1081251630379904,0.0747020369451093,2024,0.0
1198464.7683915242,1199084.0158047269,1199277.834660926,1199229.2171036128,1703808.1306854582,0.0516433715269789,0.0677963225787103,2025,0.0
84272150.69186245,85708917.63466747,85709918.95220256,85708930.7461546,84599811.7719258,1.6763330846496185,1.677481763974019,2021,20.0
86596816.66752839,86304441.12851562,86307452.6990961,86282392.84904617,85993473.25892699,-0.3387722986090594,-0.3352711259375667,2022,20.0
84555143.06496829,84465804.83375986,84479704.65666704,84481295.19780767,84841584.21498802,-0.105768519443174,-0.0892976704971181,2023,20.0
83138567.94013306,82810693.57923661,82796136.69170576,82810134.37522593,85021196.36804293,-0.3959323931790642,-0.4135836068080762,2024,20.0
144844037.23440883,147116782.83388874,147130708.4912115,147120681.37536448,147312251.23660934,1.5448581431026105,1.554176745461174,2025,20.0
167465593.9687425,170699027.86119694,170701023.78961477,170699050.46354777,168357801.80528384,1.8942309941470177,1.8953780997001357,2021,40.0
171170606.5430572,170692598.57772723,170698422.39811018,170649656.74203202,169771640.86550897,-0.2800402415294576,-0.2766189272949307,2022,40.0
166554282.8240226,168050412.09032363,168078010.59874657,168081107.33093348,168568378.53893214,0.8902859848370365,0.9065598583038798,2023,40.0
165791728.08658546,164935680.6323436,164906794.20651716,164934530.9282186,169052967.02000567,-0.5190189599726929,-0.5366266952955716,2024,40.0
284708370.2480463,293046387.89134115,293062139.8960849,293054039.77299374,292920694.34253323,2.8452893425141035,2.8505113799417208,2025,40.0
250569900.8964184,255689138.0877264,255692128.62702695,255689170.18094093,252115791.83864185,2.0021332269310643,2.003279396246196,2021,60.0
255782224.9402356,255080756.02693883,255089392.09712425,255016920.63501787,253549808.47209096,-0.2749987589117376,-0.2716039414322422,2022,60.0
247092600.7098191,251635019.34688735,251676316.54082608,251680919.4640593,252295172.86287627,1.8051615585374443,1.821274204107886,2023,60.0
248346394.03331983,247060666.6817873,247017448.6654758,247058927.48121127,253084737.6719684,-0.5204095693583463,-0.5379965565282004,2024,60.0
423125657.1590956,438952186.4016613,438975717.4993489,438981447.362233,438529137.4484571,3.605524640919249,3.6106918238084105,2025,60.0
292050569.395324,298184193.20099115,298187681.04573303,298184230.0396375,293994786.8553209,2.056991599662961,2.058137220453381,2021,70.0
298246221.33353317,297274834.75154465,297284876.9466313,297200552.58151084,295438892.275382,-0.3267638119453924,-0.3233748035808886,2022,70.0
287771989.22197366,293427322.9751693,293475469.51186585,293480825.5306222,294158570.02484834,1.927337132702606,1.943426583277548,2023,70.0
289779104.2283174,288123159.7065092,288072780.47873425,288121125.75770766,295100622.9979498,-0.5747349583056778,-0.592323838006308,2024,70.0
492655832.1222048,511927700.55056494,511939155.7737965,511945148.25115347,511333359.00141907,3.7645683965985257,3.766721774278995,2025,70.0
333926724.6171975,340679248.3142559,340683233.46443915,340679289.8983341,335873781.8719999,1.9820766103222076,1.9832231772999451,2021,80.0
340953870.97800344,339468913.47615045,339480361.79613835,339384184.52800375,337327976.07867295,-0.4374354890546747,-0.4340484303919631,2022,80.0
328206811.5092183,335219626.60345113,335274622.48290557,335280731.5971851,336021967.1868204,2.0920061170907167,2.108066194019099,2023,80.0
331114205.2038197,329185652.73123103,329128109.23613995,329183324.03420395,337116508.32393116,-0.5858555670903605,-0.6034416119270968,2024,80.0
561974740.9015948,584893692.5152004,584925002.7058318,584908851.0772067,584137580.554381,3.9184815816781944,3.923624686595774,2025,80.0
375859004.34318775,383174303.42752063,383178785.8831453,383174349.75703067,377753630.121159,1.909130914807446,1.910278389521745,2021,90.0
383505485.7677113,381662992.20075625,381675846.6456454,381567816.47449666,379218861.92068017,-0.4827540538658962,-0.4793698993912421,2022,90.0
368716584.5121817,377011930.231733,377073775.45394534,377080637.663748,377885271.8492138,2.2002873263062344,2.216327807921069,2023,90.0
372348320.5655892,370248145.7559529,370183437.9935457,370245522.3107003,379132379.4142122,-0.5672343896140979,-0.5848134599909421,2024,90.0
630740266.0288278,657855518.6711652,657890718.4082686,657872553.90326,656943097.3980919,4.121764106670242,4.126893968823554,2025,90.0
417894763.2707707,425682753.4944026,425673386.19737506,425633671.65216607,419632623.3956133,1.8295291880398592,1.827368865150888,2021,100.0
426661462.8874224,423866116.3032001,423873162.7581597,423584212.3028925,421107908.8177316,-0.6594880969968234,-0.6578147366347104,2022,100.0
409433941.8660607,418736631.96007013,418884561.9826568,418938088.74870455,419748653.6511744,2.2216088548222706,2.25613951296381,2023,100.0
412844996.8028357,411326923.4464402,411232647.3237944,411033030.2741471,421148240.4633161,-0.3690673451851238,-0.3920772072776835,2024,100.0
700065799.051831,730741901.4447076,730872862.2026007,731324321.2766026,729747314.1274524,4.1979394273448225,4.215105628347968,2025,100.0
501371486.93810105,510675896.5924407,510663330.2980565,510591067.1794792,503390616.7034541,1.821979403458181,1.819563459653957,2021,120.0
511665483.04440033,508255423.2758729,508264750.38147026,507909433.25533485,504886027.7921121,-0.6709342610745783,-0.6690868608097854,2022,120.0
492123997.3939372,502307376.5132237,502486028.45929205,502550055.1520376,503475413.5496992,2.0273202416366365,2.0621530706289763,2023,120.0
494278705.209958,493452218.8934067,493340926.15760386,493102526.1378377,505180006.25598824,-0.1674906475047914,-0.1900874228412527,2024,120.0
837840037.5735329,876637727.6544966,876804309.3236719,877361542.7008741,875355782.8230562,4.425738119299229,4.443896013717623,2025,120.0
669303645.4599652,680656021.8107077,680644143.2343911,680560327.925523,670906599.1066468,1.6678580644217949,1.6661419755316362,2021,160.0
680932560.3797677,677038831.0305939,677045202.349586,676580912.1968712,672442433.4963264,-0.5751116731734158,-0.5741652132961197,2022,160.0
655031620.909558,669442591.7021532,669686296.4599721,669785716.1377188,670929129.4659622,2.152682092717346,2.188289595871999,2023,160.0
656765086.4254595,657712521.0568341,657561060.801607,657243802.4544716,673243564.9023983,0.1440499611976716,0.1210494999775636,2024,160.0
1112570229.283319,1168458612.4966416,1168673435.8566706,1169417423.576402,1166572677.511099,4.783086248464215,4.80058884304377,2025,160.0
