seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
0,2021,aware,8760,327451112.8045375,731030.0344866503,326720082.7700508,1476716400.0,4084001.0346256355,327451112.8045375,0.0
0,2022,aware,8760,340375882.87459135,1936334.5327472268,338439548.34184414,1530259200.0,4230494.354273052,340375882.87459135,0.0
0,2023,aware,8760,328614189.43773174,910484.3790166406,327703705.0587151,1481536800.0,4096296.313233938,328614189.43773174,0.0
0,2024,aware,8784,319125358.86020005,733385.4123004134,318391973.44789964,1439046000.0,3979899.6680987463,319125358.86020005,0.0
0,2025,aware,8616,316899611.6390923,652574.6910810117,316247036.9480113,1430712000.0,3953087.961850141,316899611.63909227,1.8808683439875156e-14
1,2021,aware,8760,321679060.8163359,711130.3543495031,320967930.4619864,1452510000.0,4012099.1307748305,321679060.8163359,0.0
1,2022,aware,8760,336801865.11408556,1989144.4449450648,334812720.66914046,1515132000.0,4185159.0083642555,336801865.1140855,1.7697243082427894e-14
1,2023,aware,8760,328854993.79766464,960920.5113686026,327894073.28629607,1482836400.0,4098675.9160787007,328854993.7976647,-1.8124901825898285e-14
1,2024,aware,8784,316527712.16122687,706769.3842309224,315820942.77699596,1427846400.0,3947761.7847124496,316527712.16122687,0.0
1,2025,aware,8616,320625756.8190246,677867.84138612,319947888.97763854,1447030800.0,3999348.6122204815,320625756.8190246,0.0
7,2021,aware,8760,318758942.5327949,720915.2918589157,318038027.240936,1438556400.0,3975475.340511699,318758942.5327949,0.0
7,2022,aware,8760,338065991.8651854,1966194.8659477292,336099796.99923766,1520510400.0,4201247.462490471,338065991.8651854,0.0
7,2023,aware,8760,333811948.8054585,953966.3757714252,332857982.4296871,1504731600.0,4160724.7803710885,333811948.8054585,0.0
7,2024,aware,8784,323735020.4613644,781929.1747989062,322953091.28656554,1460970000.0,4036913.6410820684,323735020.4613644,0.0
7,2025,aware,8616,318136740.69894445,661752.8266535242,317474987.8722909,1437102000.0,3968437.3484036364,318136740.69894445,0.0
13,2021,aware,8760,334345954.9194276,762348.8092130779,333583606.1102145,1507982400.0,4169795.0763776815,334345954.9194276,0.0
13,2022,aware,8760,337761045.1988543,1988793.449331738,335772251.74952257,1518246000.0,4197153.146869032,337761045.19885427,1.7646986123073736e-14
13,2023,aware,8760,327093637.3914714,922826.502250935,326170810.8892205,1475424000.0,4077135.1361152553,327093637.3914714,0.0
13,2024,aware,8784,311979592.83739513,724551.5171914075,311255041.32020366,1405771200.0,3890688.016502546,311979592.8373951,1.9105302444079023e-14
13,2025,aware,8616,322474168.4079594,704035.2061138216,321770133.20184565,1455642000.0,4022126.66502307,322474168.4079594,0.0
19,2021,aware,8760,325089773.1463049,770780.6830316158,324318992.4632733,1466121600.0,4053987.4057909157,325089773.1463049,0.0
19,2022,aware,8760,328205317.23560506,1900321.1871411828,326304996.04846394,1475197200.0,4078812.4506057985,328205317.23560506,0.0
19,2023,aware,8760,335666932.0053817,954981.1011159753,334711950.9042657,1515898800.0,4183899.3863033215,335666932.0053817,0.0
19,2024,aware,8784,322029750.8188029,729352.107676887,321300398.71112597,1455804000.0,4016254.9838890755,322029750.8188029,0.0
19,2025,aware,8616,316699720.8672027,692914.2300978645,316006806.6371048,1429372800.0,3950085.0829638103,316699720.8672027,0.0
23,2021,aware,8760,314219216.4090116,717021.3384893946,313502195.07052225,1417284000.0,3918777.4383815285,314219216.40901166,-1.8969127813559524e-14
23,2022,aware,8760,334445702.2688724,1965987.1833988559,332479715.08547354,1503057600.0,4155996.438568419,334445702.2688723,1.7821919782803014e-14
23,2023,aware,8760,325271231.1371482,927339.4656052254,324343891.671543,1467921600.0,4054298.6458942867,325271231.13714814,1.8324597772453716e-14
23,2024,aware,8784,322911321.52762663,721670.8288704965,322189650.6987561,1457874000.0,4027370.633734451,322911321.5276266,1.8458518113707935e-14
23,2025,aware,8616,316340302.78212667,694961.8246286137,315645340.9574981,1428692400.0,3945566.7619687263,316340302.7821267,-1.8841938333871475e-14
31,2021,aware,8760,334672867.2379993,768903.5161823086,333903963.721817,1510084800.0,4173799.546522713,334672867.2379993,0.0
31,2022,aware,8760,339235580.66864026,1965901.2445444944,337269679.42409587,1524672000.0,4215870.992801198,339235580.6686403,-1.7570280999979024e-14
31,2023,aware,8760,338735941.4750674,967624.8644925316,337768316.6105748,1526144400.0,4222103.957632185,338735941.4750673,1.7596197355330785e-14
31,2024,aware,8784,317902343.2631676,735134.5526651959,317167208.71050245,1431910800.0,3964590.1088812808,317902343.2631676,0.0
31,2025,aware,8616,313878481.5470145,647975.9052646091,313230505.6417499,1417590000.0,3915381.3205218734,313878481.54701453,-1.8989719996610438e-14
37,2021,aware,8760,323221693.0346619,712946.5192089824,322508746.5154529,1457085600.0,4031359.3314431617,323221693.0346619,0.0
37,2022,aware,8760,339279614.06454253,1956243.0813561312,337323370.9831864,1524700800.0,4216542.13728983,339279614.06454253,0.0
37,2023,aware,8760,328740297.23660135,912798.1109226972,327827499.12567866,1482552000.0,4097843.7390709827,328740297.2366013,1.813122555294519e-14
37,2024,aware,8784,326186989.19153833,756434.6014364334,325430554.59010184,1470261600.0,4067881.9323762734,326186989.1915383,1.827315213372614e-14
37,2025,aware,8616,321431779.7333061,659896.6354423516,320771883.09786373,1451854800.0,4009648.5387232965,321431779.7333061,0.0
42,2021,aware,8760,333927437.5506998,757529.632123525,333169907.91857624,1505980800.0,4164623.8489822033,333927437.55069983,-1.784957990052582e-14
42,2022,aware,8760,340955407.43950045,1940483.2155347662,339014924.2239657,1531519200.0,4237686.552799571,340955407.43950045,0.0
42,2023,aware,8760,328206722.6890486,919972.6665094807,327286750.02253914,1480096800.0,4091084.375281739,328206722.6890486,0.0
42,2024,aware,8784,331114245.48336315,753827.4985972174,330360417.984766,1492365600.0,4129505.224809575,331114245.4833632,-1.800123238079935e-14
42,2025,aware,8616,320515314.33564866,696062.4156820875,319819251.9199666,1447387200.0,3997740.648999582,320515314.33564866,0.0
53,2021,aware,8760,317596348.4308474,721055.9521806688,316875292.4786668,1431122400.0,3960941.1559833344,317596348.4308474,0.0
53,2022,aware,8760,326511954.04955107,1923247.5157996668,324588706.5337514,1468260000.0,4057358.831671893,326511954.0495511,-1.8254965564398625e-14
53,2023,aware,8760,330621666.1723548,990532.7907644208,329631133.38159037,1489687200.0,4120389.16726988,330621666.1723548,0.0
53,2024,aware,8784,315040881.096104,695698.345600111,314345182.7505039,1420297200.0,3929314.784381299,315040881.096104,0.0
53,2025,aware,8616,314750368.8556085,668161.1446111354,314082207.7109974,1420455600.0,3926027.5963874673,314750368.8556085,0.0
0,2021,horizon,8760,340750226.3993984,729092.343763976,340021134.0556344,1535950800.0,4250264.1756954305,340750226.3993984,0.0
0,2022,horizon,8760,339239221.473542,1950355.0181802232,337288866.4553618,1524535200.0,4216110.830692022,339239221.473542,0.0
0,2023,horizon,8760,335371421.94311506,848763.1362682723,334522658.80684674,1511434800.0,4181533.2350855847,335371421.94311506,0.0
0,2024,horizon,8784,329053509.29595554,714794.2062431496,328338715.0897124,1483250400.0,4104233.938621405,329053509.29595554,0.0
0,2025,horizon,8616,329862943.1469019,671236.9634364631,329191706.1834654,1488538800.0,4114896.327293318,329862943.1469019,0.0
1,2021,horizon,8760,340320373.75044346,732704.8530842694,339587668.89735913,1535947200.0,4244845.86121699,340320373.75044346,0.0
1,2022,horizon,8760,338788557.86785835,1931511.4106205322,336857046.4572378,1523894400.0,4210713.080715473,338788557.86785835,0.0
1,2023,horizon,8760,335258914.3389712,929268.7923419718,334329645.5466292,1511110800.0,4179120.569332865,335258914.3389712,0.0
1,2024,horizon,8784,328951133.15778613,690181.1564328235,328260952.0013533,1483441200.0,4103261.900016917,328951133.15778613,0.0
1,2025,horizon,8616,329851870.004627,631931.0977155196,329219938.9069115,1488423600.0,4115249.236336394,329851870.00462705,-1.8070124863792498e-14
7,2021,horizon,8760,340424076.1399752,705091.4170293333,339718984.7229458,1535968800.0,4246487.309036823,340424076.13997513,1.7508939276927776e-14
7,2022,horizon,8760,338942051.00201964,1945919.4028367815,336996131.59918284,1524142800.0,4212451.644989786,338942051.00201964,0.0
7,2023,horizon,8760,335341852.5130427,891563.6401026137,334450288.8729401,1511218800.0,4180628.6109117516,335341852.5130427,0.0
7,2024,horizon,8784,328713149.9710974,663975.7286849746,328049174.24241245,1483020000.0,4100614.6780301556,328713149.9710974,0.0
7,2025,horizon,8616,329650649.2529763,658490.525709542,328992158.7272667,1488531600.0,4112401.9840908344,329650649.2529763,0.0
13,2021,horizon,8760,340646348.23616076,715248.2509945283,339931099.9851662,1535983200.0,4249138.749814577,340646348.2361607,1.7497514675856256e-14
13,2022,horizon,8760,339136105.4979061,1938160.3302570253,337197945.1676491,1524178800.0,4214974.314595614,339136105.4979061,0.0
13,2023,horizon,8760,335187159.57484686,883287.3397701962,334303872.23507667,1511319600.0,4178798.4029384586,335187159.57484686,0.0
13,2024,horizon,8784,329381881.6262338,650251.7610966314,328731629.8651372,1483333200.0,4109145.373314215,329381881.6262338,0.0
13,2025,horizon,8616,329882695.46947664,659354.0084379164,329223341.4610387,1488553200.0,4115291.768262984,329882695.46947664,0.0
19,2021,horizon,8760,340734831.9231101,767608.7027149065,339967223.2203952,1535983200.0,4249590.290254941,340734831.9231101,0.0
19,2022,horizon,8760,339314847.7672896,1891070.810778985,337423776.95651054,1524592800.0,4217797.211956382,339314847.7672896,0.0
