seed,year,baseline,saving_total_eur,saving_electricity_eur,saving_carbon_eur,carbon_fraction_of_saving,saving_pct,delivered_mass_delta_pct,co2_saving_t,saving_per_kg_pct,co2_intensity_saving_pct
0,2021,lagged,1453663.9320036173,-35519.606124170125,1489183.5381278396,1.0244345376824924,0.4344029257224068,-0.3390793078105165,18614.794226597995,0.09564794028574797,0.10722986660869349
0,2022,lagged,-1784708.9025927782,-66667.09803126799,-1718041.8045614362,0.9626453939157866,-0.5287718632544204,0.5691658718748073,-21475.522557018325,0.04016540086635434,0.057025633467999715
0,2023,lagged,868547.9813166857,-65771.42627710477,934319.4075937867,1.0757257257997355,0.25725080842546344,-0.1734328344083172,11678.992594923824,0.08396359445889123,0.10419712342728538
0,2024,lagged,282204.85931301117,-64522.0036898941,346726.8630029559,1.2286353390477212,0.08408367701986781,-0.01594088074555737,4334.085787536111,0.06815366056805994,0.08759427270752518
0,2025,lagged,-637710.68130368,-53066.0671119598,-584644.614191711,0.9167866108130958,-0.1941901702629044,0.2683895413089151,-7308.057677395642,0.07400076074368656,0.08977830674321563
1,2021,lagged,516563.8759546876,-51591.8953715727,568155.7713261843,1.09987515150212,0.1545521144867141,-0.07659708501560576,7101.947141577955,0.0780147865234726,0.0938189503372544
1,2022,lagged,-311867.50843572617,-80493.89981582528,-231373.60861980915,0.7418971273421185,-0.09247040728561423,0.13001957411471618,-2892.1701077483594,0.037500408957091835,0.06095585827661232
1,2023,lagged,-1559246.5152741075,-83499.77915550536,-1475746.7361186743,0.9464486350698983,-0.4619380089452144,0.5356487998769711,-18446.834201482125,0.07331806360397763,0.09680381201390142
1,2024,lagged,2731619.83576566,-45200.59179351851,2776820.427559197,1.0165471751236086,0.8142020317218318,-0.7497043771220012,34710.255344490055,0.0649848488561755,0.08028201220114939
1,2025,lagged,-275186.99908459187,-55081.497699176194,-220105.50138545036,0.7998397530320479,-0.08377822361747478,0.13067196479143492,-2751.3187673194334,0.04683254416834037,0.06345104490884657
7,2021,lagged,224507.51064181328,-38928.45743947488,263435.9680812955,1.1733949003674535,0.06713961625314341,0.0,3292.9496010160074,0.06713961625314235,0.07894621037727312
7,2022,lagged,272700.3693662882,-50875.79117142479,323576.1605377197,1.186562971255443,0.08083948719793975,-0.042707159380746186,4044.702006721869,0.03814862000914854,0.05376929300732192
7,2023,lagged,3072536.392190516,-60051.28863094875,3132587.680821538,1.01954453290892,0.910072795277661,-0.8333077015897201,39157.346010268666,0.077410158500546,0.09777220206172998
7,2024,lagged,-1179102.1903212667,-113388.33096394956,-1065713.8593572974,0.9038350264339051,-0.35149181600327123,0.4379704435372596,-13321.423241966404,0.08610152828865125,0.11909926956967798
7,2025,lagged,-599919.2727844715,-63429.55349085911,-536489.7192935348,0.8942698520143649,-0.18281093668990292,0.23974873749335043,-6706.121491169091,0.05680161963750319,0.07577109540697347
13,2021,lagged,2089212.893030703,-51576.332362571964,2140789.2253932953,1.0246869682523227,0.6244205496377059,-0.5526443890845575,26759.86531741591,0.0721750318168013,0.0890256499830766
13,2022,lagged,-1090558.5334450006,-84317.98471126007,-1006240.5487336516,0.9226836688490307,-0.3230685324986202,0.3646587107641937,-12578.006859171204,0.04143906709773715,0.06468298832065233
13,2023,lagged,-1150707.784439087,-96792.53230968094,-1053915.2521294355,0.915884350815587,-0.3410325034302546,0.4249519681238702,-13173.940651617944,0.08356435631678982,0.11132736175460956
13,2024,lagged,1132618.5541689992,-103150.7942214047,1235769.3483903408,1.0910728451707408,0.33706008863801773,-0.2248126561199001,15447.116854879074,0.11250034753754745,0.14402569555956868
13,2025,lagged,321795.49517315626,-65796.14428310853,387591.6394562721,1.204465709651129,0.0979772850295749,-0.023318233158041754,4844.895493203308,0.07467646510377346,0.094939612805367
19,2021,lagged,228534.68136692047,-79375.84736395499,307910.5287308693,1.3473251713445982,0.06829417635143767,0.011931010127041395,3848.8816091353074,0.08021561594522275,0.1041239989046594
19,2022,lagged,405293.81771820784,-63993.29988977336,469287.11760795116,1.1578935998827313,0.12004722503600382,-0.0462660893291417,5866.088970098179,0.07381528715355579,0.09354693460416064
19,2023,lagged,-951346.5140337944,-69433.09941601858,-881913.4146178365,0.9270159732634585,-0.2822855203861255,0.34826635751718266,-11023.91768272221,0.06575184557348068,0.08560972538356193
19,2024,lagged,476240.9062896967,-55169.142982359976,531410.0492720008,1.1158429321246603,0.1422354231604173,-0.07731909710326977,6642.625615900848,0.06496655761291104,0.08178491008209443
19,2025,lagged,967058.2099285126,-60788.92975891079,1027847.1396874785,1.06285963878375,0.2944301935272233,-0.22540356467965003,12848.08924609283,0.06918256882383345,0.08833793995062234
23,2021,lagged,-1522338.7798815966,-65247.623297085054,-1457091.1565845013,0.9571398796645185,-0.4548985124929818,0.5698250436674971,-18213.639457305428,0.1142753615456793,0.13276582673642512
23,2022,lagged,2234594.0573316216,-101756.04977054149,2336350.1071021557,1.045536704725709,0.66173364799105,-0.5872318011526352,29204.3763387762,0.07494192968191538,0.10909208640469403
23,2023,lagged,3061342.899949789,-57601.03898242372,3118943.93893224,1.0188156116008422,0.9076830917470344,-0.8368468123163408,38986.79923665384,0.07143407319514239,0.09107685027643919
23,2024,lagged,-2035193.0784140825,-53437.79485316109,-1981755.283560872,0.9737431325705708,-0.6071262817495022,0.646129763601198,-24771.941044511274,0.038753086624698785,0.05336908378710259
23,2025,lagged,-1413748.5402832031,-83537.42373633757,-1330211.1165468693,0.9409106914305995,-0.4307071922936554,0.49941944918115616,-16627.638956836425,0.06837079981565353,0.09292993572125319
31,2021,lagged,2185861.051387012,-64037.73146142764,2249898.7828484178,1.0292963413300087,0.6534801248865525,-0.5466788840210367,28123.734785605688,0.1073883100806361,0.1280465672684694
31,2022,lagged,-1894846.5884552598,-94274.01002498483,-1800572.5784302354,0.9502471542554378,-0.5612358863969359,0.6223455999240752,-22507.15723037813,0.06073175213993087,0.08556001144841563
31,2023,lagged,-884289.5654495955,-88718.4191123232,-795571.1463372707,0.8996726608809208,-0.2617765123645879,0.34069131946908937,-9944.639329216443,0.07864686406559018,0.10421895267100911
31,2024,lagged,2321872.12417233,-74376.4520173301,2396248.576189637,1.0320329665199888,0.6907543443493303,-0.5863965515600765,29953.10720237065,0.10497335291078658,0.1286967343428702
31,2025,lagged,287083.3236208558,-47318.07206650416,334401.3956873417,1.1648234786670428,0.08746173169187262,-0.02842165098212594,4180.017446091399,0.05905686564596779,0.073672839111949
37,2021,lagged,1337177.6067097783,-20183.197830561316,1357360.8045402765,1.0150938796231868,0.3994997838913999,-0.3390793078105165,16967.010056754574,0.060626046459566485,0.067524748288883
37,2022,lagged,-752829.9891197681,-85638.66265155794,-667191.3264682889,0.8862443527899166,-0.22293351310397297,0.27212982514413153,-8339.891580853611,0.04906279753500442,0.07327209719660832
37,2023,lagged,321160.8711988926,-48130.606947639724,369291.47814649343,1.1498644799658484,0.09518137735434576,-0.0406959961764692,4616.143476831727,0.05450756357386899,0.06906145855389845
37,2024,lagged,1209976.200557053,-69949.65864512627,1279925.8592022061,1.057810772321761,0.3603624254449938,-0.28931508935220546,15999.073240027297,0.07125348317128521,0.0929373014512902
37,2025,lagged,-561660.8083276153,-42680.60656549712,-518980.2017620802,0.9240099969007637,-0.17114250717389973,0.20693524529841664,-6487.252522025257,0.03571882328992082,0.048394249104655174
42,2021,lagged,-1973983.1764560342,-62333.11727318936,-1911650.0591828823,0.9684226704580832,-0.5899429403639938,0.6714772499498898,-23895.625739785843,0.08099047695848682,0.09831569249405536
42,2022,lagged,2217878.187953949,-48164.32456689677,2266042.5125208497,1.0217163976040242,0.6566029201932202,-0.613057362619634,28325.53140651062,0.043814163528976824,0.06187062147188227
42,2023,lagged,265337.25495040417,-80442.78361714468,345780.03856766224,1.3031718392967249,0.07860300438944613,0.016325873907467786,4322.250482094474,0.09491338285771977,0.11900633671834138
42,2024,lagged,784635.90237993,-61981.51942037977,846617.421800375,1.0789939884632411,0.23365189065858183,-0.1691375176036235,10582.717772504315,0.0646236759362262,0.0836278936774848
