seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
0,2021,aware,8760,333181267.35585356,732050.2275766605,332449217.1282768,1503558000.0,4155615.214103461,333181267.3558535,1.7889554610442734e-14
0,2022,aware,8760,339304351.42072344,1910418.450194512,337393932.9705289,1526014800.0,4217424.162131611,339304351.42072344,0.0
0,2023,aware,8760,336758372.0788164,939421.581993022,335818950.49682343,1518872400.0,4197736.881210292,336758372.0788164,0.0
0,2024,aware,8784,335341627.6311834,755127.3111206808,334586500.32006264,1512849600.0,4182331.2540007834,335341627.6311834,0.0
0,2025,aware,8616,329032644.5959891,677803.3241649115,328354841.2718242,1486152000.0,4104435.515897802,329032644.5959891,0.0
1,2021,aware,8760,333716246.6360577,750380.0327694302,332965866.6032883,1507518000.0,4162073.332541103,333716246.6360577,0.0
1,2022,aware,8760,337573827.9456359,1942852.324314055,335630975.6213218,1519282800.0,4195387.195266523,337573827.9456359,0.0
1,2023,aware,8760,339103783.89475465,950498.2030481456,338153285.69170654,1529744400.0,4226916.071146331,339103783.89475465,0.0
1,2024,aware,8784,332764943.58952737,736810.6036151708,332028132.9859122,1501732800.0,4150351.662323903,332764943.58952737,0.0
1,2025,aware,8616,328745984.30445063,685493.4372912869,328060490.86715937,1484121600.0,4100756.135839493,328745984.3044507,-1.8130911895851763e-14
7,2021,aware,8760,334164521.1595988,737502.8014321072,333427018.3581667,1508673600.0,4167837.7294770842,334164521.1595989,-1.7836915950428832e-14
7,2022,aware,8760,337062899.8659085,1912701.3362857096,335150198.5296228,1516662000.0,4189377.481620285,337062899.8659085,0.0
7,2023,aware,8760,334541817.9906468,933031.889004841,333608786.1016419,1508871600.0,4170109.8262705244,334541817.9906468,0.0
7,2024,aware,8784,336635615.4396349,807736.9302490415,335827878.5093859,1519880400.0,4197848.481367324,336635615.4396349,0.0
7,2025,aware,8616,328763695.2738329,691869.6682986413,328071825.60553426,1485604800.0,4100897.8200691785,328763695.2738329,0.0
13,2021,aware,8760,332495049.94759524,752100.3165454555,331742949.63104975,1500336000.0,4146786.8703881223,332495049.94759524,0.0
13,2022,aware,8760,338653157.097469,1942288.768122983,336710868.32934594,1522897200.0,4208885.854116824,338653157.097469,0.0
13,2023,aware,8760,338569508.88543767,964374.915102415,337605133.97033525,1527955200.0,4220064.174629191,338569508.88543767,0.0
13,2024,aware,8784,334896057.7408056,793832.296329503,334102225.4444761,1509858000.0,4176277.818055952,334896057.7408056,0.0
13,2025,aware,8616,328117082.02222365,691995.985791942,327425086.03643167,1481756400.0,4092813.5754553964,328117082.02222365,0.0
