seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
1,2021,721395.9570208827,721258.6306219742,721391.6074240804,-0.019039827473549542,-0.0006029453014998968,hard,0.0
1,2022,1926077.6755844238,1928217.0268415345,1927319.1830490236,0.1109497129902966,0.06441628742758258,hard,0.0
1,2023,881148.7728727944,881228.5982443327,881714.8196537801,0.009058418178588913,0.06419839707445671,hard,0.0
1,2024,689667.6897881379,689494.1854588898,689216.32331716,-0.025164001801207883,-0.06548981150148837,hard,0.0
1,2025,1203947.902435819,1203365.440809835,1203386.259688492,-0.04840272175275006,-0.04667185974621096,hard,0.0
19,2021,719678.652721236,720181.5115778124,719208.093682502,0.06982390529224894,-0.06542738365534546,hard,0.0
19,2022,1923232.336003145,1919900.1432640902,1920784.4551683099,-0.17356073183002188,-0.127441724564593,hard,0.0
19,2023,881682.9611132666,881877.6296063872,881968.7576682392,0.02207432035751595,0.032404385358062664,hard,0.0
19,2024,687292.6690051664,687231.8564799997,686975.1078735595,-0.008848909519146263,-0.04622600265530649,hard,0.0
19,2025,1202370.0578310918,1203274.684683019,1202461.1252680637,0.07518041087730219,0.007573420467263166,hard,0.0
0,2021,718128.9150317872,718813.1812748741,718679.2206433668,0.09519389194745882,0.076571799458307,hard,0.0
0,2022,1919576.853060108,1920611.6963655064,1921669.8532711721,0.053880922799583904,0.10891570201309127,hard,0.0
0,2023,879484.8656571389,879854.5532011004,879726.5301126598,0.042016892748530515,0.027470406683082794,hard,0.0
0,2024,687533.1396883976,686616.6991011454,686808.283456205,-0.13347193397014384,-0.1055398208863946,hard,0.0
0,2025,1200430.5913567855,1200597.3516442718,1199968.242483117,0.013889776389883245,-0.038530092489100866,hard,0.0
7,2021,719879.0453524049,721129.0877495646,720799.9463579602,0.17334516363230312,0.1277609703230971,hard,0.0
7,2022,1932415.2196876989,1931510.3525793785,1932143.6024631336,-0.04684764475178575,-0.014057817660083788,hard,0.0
7,2023,880324.9972479055,882368.1839271531,881755.0596665043,0.23155715680432246,0.16218363625150883,hard,0.0
7,2024,686466.1347592974,686349.0222632138,686044.2541339248,-0.01706311108267156,-0.061494666390743226,hard,0.0
7,2025,1202435.8785411306,1203052.043071903,1202600.7701487092,0.05121678104624245,0.01371125078842425,hard,0.0
13,2021,725427.938098637,725476.2904030875,725650.4874633942,0.006664904848041787,0.03066894718628142,hard,0.0
13,2022,1926933.6365985298,1925106.8568260062,1926176.0870518622,-0.094892383040775,-0.03932919486229768,hard,0.0
13,2023,879531.608802037,879719.9117932686,880001.511056595,0.021404879974561856,0.05339789178246438,hard,0.0
13,2024,686776.6715499791,686972.7896414679,686803.7384444191,0.028548160050280456,0.003940994046026269,hard,0.0
13,2025,1198446.9297619073,1197871.7488600216,1197975.0194519286,-0.048016901845553454,-0.03939233308843609,hard,0.0
