seed,year,aware_eur,blind_lagged_eur,blind_horizon_eur,saving_vs_lagged_pct,saving_vs_horizon_pct,surrogate,carbon_price_eur_per_t
19,2021,717539.1742944584,718154.9654496657,717164.7784380667,0.08574627828713105,-0.05220499774222679,soft,0.0
19,2022,1916590.954261973,1914341.63599769,1915194.8120021026,-0.11749826791552483,-0.07289818514132912,soft,0.0
19,2023,881759.2826898891,881894.1899666197,882058.3402716406,0.015297444780279314,0.03390451267196142,soft,0.0
19,2024,687254.1460627136,687145.0754413522,686879.9051749931,-0.015873012157049664,-0.054484180553388516,soft,0.0
19,2025,1200899.3655178158,1201933.31483944,1201121.8439381206,0.0860238508125756,0.018522552181333456,soft,0.0
1,2021,719415.3991754964,719287.7147081983,719322.4021785116,-0.017751515101282433,-0.012928416618635821,soft,0.0
1,2022,1920734.8793622016,1923392.0976725318,1922306.021690761,0.13815271018040245,0.08173216495350337,soft,0.0
1,2023,881298.1705896355,881188.3506676403,881643.4809133896,-0.012462706969736701,0.03916666217464099,soft,0.0
1,2024,689624.42829702,689448.0508477488,689196.4427448045,-0.025582413215092067,-0.062099210859385905,soft,0.0
1,2025,1202882.5828497524,1202168.7054093685,1202073.3282871237,-0.05938246746664376,-0.06732156380025696,soft,0.0
13,2021,723072.2020482933,723199.1959040867,723362.9370002258,0.017560010646115363,0.04019212722428411,soft,0.0
13,2022,1921896.8883317031,1919626.2812671317,1920791.322503814,-0.11828380798540915,-0.057557831240511545,soft,0.0
13,2023,879700.2284358025,879860.3300084792,880068.4259524316,0.018196248565398476,0.04183737375087065,soft,0.0
13,2024,686899.2035665086,687042.8553388912,686861.9242100846,0.02090870624245048,-0.0054274891517492145,soft,0.0
13,2025,1196860.576078798,1196544.454618606,1196561.6273118216,-0.026419533262779446,-0.02498398412190237,soft,0.0
7,2021,717846.756263054,719088.9853217028,718781.8599528712,0.17275039445821383,0.13009561619690269,soft,0.0
7,2022,1927356.0995383214,1926230.249762119,1926567.617327294,-0.058448348858677966,-0.04092678626671547,soft,0.0
7,2023,880723.8494512567,882381.7975594188,882046.7117570104,0.1878946407040433,0.14997644547856726,soft,0.0
7,2024,686539.3080375361,686445.1459830386,686208.7645041553,-0.013717345813942492,-0.04816952951915266,soft,0.0
7,2025,1200800.337978833,1201850.3943592175,1201394.6858036376,0.08736997427574612,0.04947148774901948,soft,0.0
42,2021,717712.1362625839,717431.7620550876,717441.2652986571,-0.03908026133289112,-0.037755141365337815,soft,0.0
42,2022,1913236.0113773122,1912227.134513996,1913198.6782953702,-0.05275925883002279,-0.0019513437033792454,soft,0.0
42,2023,880538.7514000153,881380.4326708177,881302.2513724627,0.09549579722933886,0.08663315806335407,soft,0.0
42,2024,684898.1697735189,685613.0244919928,685201.995334929,0.10426504353582405,0.04434102111181653,soft,0.0
42,2025,1198660.431583864,1199192.9030631564,1198572.3673568615,0.044402487534105285,-0.007347426772122462,soft,0.0
37,2021,716562.9625353394,717875.3906449556,717765.5188969852,0.1828211590366738,0.16754167342753087,soft,0.0
37,2022,1910224.740203131,1908551.288348894,1908657.0350313347,-0.08768178588926519,-0.08213655691005393,soft,0.0
37,2023,883573.1469269289,882280.1747381684,882843.6971771622,-0.1465489337493317,-0.08262501642126492,soft,0.0
37,2024,685705.1547968234,685997.1090001997,685719.9047618227,0.04255910113117236,0.002151018935988313,soft,0.0
37,2025,1197409.276468549,1200636.8317683374,1199554.8301584017,0.268820280570173,0.17886249431128556,soft,0.0
0,2021,715993.0789556728,716886.1449912086,716620.2772531554,0.12457571425748794,0.08752170673800234,soft,0.0
0,2022,1913951.684590424,1914682.4632023796,1915825.395148801,0.03816709172409943,0.09780173929845229,soft,0.0
0,2023,879320.6329349135,879857.8503143918,879643.3553407848,0.06105729229855856,0.036687869454346454,soft,0.0
0,2024,687649.6341594366,686803.598249751,687014.3667055587,-0.1231845482233313,-0.09246785579232304,soft,0.0
0,2025,1199249.1434812557,1199264.7839809416,1198587.821362955,0.0013041740151805814,-0.055175107448422085,soft,0.0
23,2021,711768.50682076,712578.7626597187,712452.7268352857,0.11370754805187827,0.09603725114015613,soft,0.0
23,2022,1920508.2734668765,1921560.6612808462,1921424.1282549198,0.05476734797788078,0.047665415176976214,soft,0.0
23,2023,883061.1121408057,883611.0451666208,883330.4732832477,0.06223700222209862,0.030493812971355123,soft,0.0
23,2024,687012.7421655444,686615.1234860464,686904.0698683433,-0.05790997982671926,-0.01582059300099186,soft,0.0
23,2025,1200105.7963768155,1199685.3988904972,1199721.4715083763,-0.03504231081808313,-0.032034507805885154,soft,0.0
53,2021,715821.8084140688,715029.569685896,715183.5150487261,-0.11079803713862474,-0.08924889233488155,soft,0.0
53,2022,1924547.754646565,1923816.5187538136,1924086.362439269,-0.03800964830186395,-0.023979807575329807,soft,0.0
53,2023,878125.5174395399,878870.3770888901,878810.9193080855,0.0847519348436103,0.07799196089702713,soft,0.0
53,2024,688652.1696732354,688813.9873000584,688297.7224862928,0.0234922097701948,-0.051496202204798114,soft,0.0
53,2025,1199607.6508576567,1200672.8923090566,1199877.9234014626,0.08872037157025031,0.022525003463661087,soft,0.0
31,2021,717810.0545872108,717094.8572220101,717320.8744683177,-0.09973539176828736,-0.06819543893179233,soft,0.0
31,2022,1917089.4791481367,1915021.8054500902,1916504.504378244,-0.10797128743714275,-0.03052300521894235,soft,0.0
31,2023,877985.7616348978,878590.9995529272,878176.9393024151,0.06888733419047081,0.021769834638244372,soft,0.0
31,2024,685627.8611160865,685937.8257942293,685717.5756957753,0.04518845097715699,0.013083313432329678,soft,0.0
31,2025,1195571.1266552815,1197478.4818630058,1196050.9454208477,0.1592809588325003,0.04011691704297658,soft,0.0
