year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,5.3227026262135455,2.6577481567992134,lagged,hard,160.0
2022,1.7193054728608383,2.059877638290672,lagged,hard,160.0
2023,1.8418531399307594,1.930182951849036,lagged,hard,160.0
2024,3.579435172335315,1.934188327261241,lagged,hard,160.0
2025,5.357911081806833,1.4328677740450768,lagged,hard,160.0
2021,5.32562216043041,2.657526112456378,horizon,hard,160.0
2022,1.719572903695769,2.0549710775996872,horizon,hard,160.0
2023,1.8405047443679632,1.9296404684669284,horizon,hard,160.0
2024,3.571366588678493,1.9225849572241305,horizon,hard,160.0
2025,5.354774809896651,1.436852451643761,horizon,hard,160.0
