year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,0.03717323234694099,0.5487458329531983,lagged,hard_volmatch,80.0
2022,0.09278497835240887,0.5631355787308613,lagged,hard_volmatch,80.0
2023,0.0655169932143195,0.4976969310558379,lagged,hard_volmatch,80.0
2024,0.20598272139356136,0.4294822774014209,lagged,hard_volmatch,80.0
2025,-0.06652787174963679,0.2007736308453976,lagged,hard_volmatch,80.0
2021,0.03852787367192355,0.5481574829701729,horizon,hard_volmatch,80.0
2022,0.09387095680558191,0.559444232701055,horizon,hard_volmatch,80.0
2023,0.06580495176715304,0.4929391118291822,horizon,hard_volmatch,80.0
2024,0.204920098538443,0.4314152030077621,horizon,hard_volmatch,80.0
2025,-0.06680471207601343,0.19770418187944422,horizon,hard_volmatch,80.0
