year,mean,std,baseline,surrogate,carbon_price_eur_per_t
2021,4.586813129397537,2.1812745029277476,lagged,soft,80.0
2022,0.8853821065635558,1.475857060007608,lagged,soft,80.0
2023,1.395888030230512,1.2462897676304994,lagged,soft,80.0
2024,2.532508197800107,1.774802843431492,lagged,soft,80.0
2025,3.5194564639612578,0.9031488040984447,lagged,soft,80.0
2021,4.585990728091501,2.1786727784500237,horizon,soft,80.0
2022,0.8853989541041102,1.4701157246825092,horizon,soft,80.0
2023,1.398021400592968,1.2420616559502948,horizon,soft,80.0
2024,2.525909462132338,1.7667527863422898,horizon,soft,80.0
2025,3.516054139432362,0.9054779610329786,horizon,soft,80.0
