baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,5.3227,2.6577,0.8405,3.6754,6.97,6.333,0.0001355532097319902,0.001953125,hard,160.0
lagged,2022,10,1.7193,2.0599,0.6514,0.4426,2.996,2.639,0.02693854373934381,0.01953125,hard,160.0
lagged,2023,10,1.8419,1.9302,0.6104,0.6455,3.0382,3.018,0.014536567413608167,0.02734375,hard,160.0
lagged,2024,10,3.5794,1.9342,0.6116,2.3806,4.7783,5.852,0.00024310543416337663,0.001953125,hard,160.0
lagged,2025,10,5.3579,1.4329,0.4531,4.4698,6.246,11.825,8.727483734567745e-07,0.001953125,hard,160.0
lagged,ALL_5yr_mean,10,3.5642,1.0991,0.3476,2.883,4.2454,10.255,2.8999253795095304e-06,0.001953125,hard,160.0
horizon,2021,10,5.3256,2.6575,0.8404,3.6785,6.9728,6.337,0.00013491256729669738,0.001953125,hard,160.0
horizon,2022,10,1.7196,2.055,0.6498,0.4459,2.9933,2.646,0.026643698881502805,0.01953125,hard,160.0
horizon,2023,10,1.8405,1.9296,0.6102,0.6445,3.0365,3.016,0.014568668349600886,0.02734375,hard,160.0
horizon,2024,10,3.5714,1.9226,0.608,2.3797,4.763,5.874,0.00023652561395305272,0.001953125,hard,160.0
horizon,2025,10,5.3548,1.4369,0.4544,4.4642,6.2453,11.785,8.980627553181504e-07,0.001953125,hard,160.0
horizon,ALL_5yr_mean,10,3.5624,1.0994,0.3477,2.881,4.2438,10.247,2.9195699719339017e-06,0.001953125,hard,160.0
