baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,4.5666,2.1755,0.688,3.2182,5.915,6.638,9.504479596205704e-05,0.001953125,hard,80.0
lagged,2022,10,0.892,1.4746,0.4663,-0.0219,1.806,1.913,0.08804615830742106,0.10546875,hard,80.0
lagged,2023,10,1.3876,1.244,0.3934,0.6166,2.1586,3.527,0.006441042739824511,0.013671875,hard,80.0
lagged,2024,10,2.5381,1.7695,0.5596,1.4414,3.6349,4.536,0.0014144233826482824,0.00390625,hard,80.0
lagged,2025,10,3.5244,0.8979,0.2839,2.9679,4.0809,12.413,5.769827919837269e-07,0.001953125,hard,80.0
lagged,ALL_5yr_mean,10,2.5818,0.8541,0.2701,2.0524,3.1111,9.559,5.2037286741032e-06,0.001953125,hard,80.0
horizon,2021,10,4.5693,2.1753,0.6879,3.2211,5.9176,6.643,9.45439685053537e-05,0.001953125,hard,80.0
horizon,2022,10,0.892,1.4686,0.4644,-0.0182,1.8023,1.921,0.08695208888341004,0.10546875,hard,80.0
horizon,2023,10,1.3868,1.2421,0.3928,0.617,2.1567,3.531,0.006407318672413645,0.013671875,hard,80.0
horizon,2024,10,2.5298,1.7585,0.5561,1.4399,3.6197,4.549,0.0013872476169414145,0.00390625,hard,80.0
horizon,2025,10,3.5209,0.9028,0.2855,2.9614,4.0805,12.333,6.098380343893939e-07,0.001953125,hard,80.0
horizon,ALL_5yr_mean,10,2.5798,0.8542,0.2701,2.0503,3.1092,9.55,5.240835395524247e-06,0.001953125,hard,80.0
