baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,0.0372,0.5487,0.1735,-0.3029,0.3773,0.214,0.835150631702373,0.6953125,hard_volmatch,80.0
lagged,2022,10,0.0928,0.5631,0.1781,-0.2563,0.4418,0.521,0.6149200797042313,0.76953125,hard_volmatch,80.0
lagged,2023,10,0.0655,0.4977,0.1574,-0.243,0.374,0.416,0.6869544643876052,0.921875,hard_volmatch,80.0
lagged,2024,10,0.206,0.4295,0.1358,-0.0602,0.4722,1.517,0.16366312187630994,0.16015625,hard_volmatch,80.0
lagged,2025,10,-0.0665,0.2008,0.0635,-0.191,0.0579,-1.048,0.32203362064333074,0.322265625,hard_volmatch,80.0
lagged,ALL_5yr_mean,10,0.067,0.0371,0.0117,0.044,0.09,5.706,0.00029218980750169544,0.001953125,hard_volmatch,80.0
horizon,2021,10,0.0385,0.5482,0.1733,-0.3012,0.3783,0.222,0.8290699754799802,0.6953125,hard_volmatch,80.0
horizon,2022,10,0.0939,0.5594,0.1769,-0.2529,0.4406,0.531,0.6085315948375432,0.76953125,hard_volmatch,80.0
horizon,2023,10,0.0658,0.4929,0.1559,-0.2397,0.3713,0.422,0.6828221576429104,0.921875,hard_volmatch,80.0
horizon,2024,10,0.2049,0.4314,0.1364,-0.0625,0.4723,1.502,0.16732590701893643,0.232421875,hard_volmatch,80.0
horizon,2025,10,-0.0668,0.1977,0.0625,-0.1893,0.0557,-1.069,0.31309736473779426,0.322265625,hard_volmatch,80.0
horizon,ALL_5yr_mean,10,0.0673,0.0368,0.0116,0.0445,0.0901,5.78,0.0002661244800862023,0.001953125,hard_volmatch,80.0
