baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,wilcoxon_p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,0.0432,0.1079,0.0341,-0.0237,0.1101,1.266,0.23734741853582442,0.275390625,soft,0.0
lagged,2022,10,-0.0358,0.0849,0.0268,-0.0885,0.0168,-1.335,0.21459636517581632,0.232421875,soft,0.0
lagged,2023,10,0.0397,0.0881,0.0278,-0.0149,0.0943,1.426,0.1875819887593195,0.10546875,soft,0.0
lagged,2024,10,0.001,0.0634,0.0201,-0.0383,0.0403,0.048,0.9624407146370957,0.921875,soft,0.0
lagged,2025,10,0.0135,0.0868,0.0275,-0.0403,0.0674,0.493,0.6337925459287732,0.845703125,soft,0.0
lagged,ALL_5yr_mean,10,0.0123,0.0262,0.0083,-0.0039,0.0285,1.489,0.1707642452147252,0.232421875,soft,0.0
horizon,2021,10,0.0262,0.0936,0.0296,-0.0318,0.0842,0.884,0.39958960005251215,0.431640625,soft,0.0
horizon,2022,10,-0.0075,0.0627,0.0198,-0.0464,0.0313,-0.38,0.7126639408661177,0.76953125,soft,0.0
horizon,2023,10,0.0448,0.0594,0.0188,0.008,0.0816,2.386,0.0408528579751512,0.048828125,soft,0.0
horizon,2024,10,-0.0291,0.0446,0.0141,-0.0568,-0.0015,-2.064,0.06901085203725832,0.083984375,soft,0.0
horizon,2025,10,-0.001,0.0608,0.0192,-0.0387,0.0367,-0.052,0.9597314445286688,0.431640625,soft,0.0
horizon,ALL_5yr_mean,10,0.0067,0.0246,0.0078,-0.0086,0.0219,0.856,0.41440329576851936,0.375,soft,0.0
