baseline,scope,n,mean_pct,std_pct,se_pct,ci95_lo_pct,ci95_hi_pct,t_stat,p_two_sided,surrogate,carbon_price_eur_per_t
lagged,2021,10,4.5867,2.1813,0.6898,3.2348,5.9387,6.65,9.378295590117482e-05,soft,80.0
lagged,2022,10,0.8853,1.4757,0.4667,-0.0293,1.8,1.897,0.09029833775936746,soft,80.0
lagged,2023,10,1.3958,1.2462,0.3941,0.6234,2.1682,3.542,0.006296423225597456,soft,80.0
lagged,2024,10,2.5326,1.7749,0.5613,1.4324,3.6327,4.512,0.0014633066865122936,soft,80.0
lagged,2025,10,3.087,0.699,0.2211,2.6538,3.5203,13.965,2.0956544276751476e-07,soft,80.0
lagged,ALL_5yr_mean,10,2.4975,0.7852,0.2483,2.0108,2.9842,10.058,3.409230979603554e-06,soft,80.0
horizon,2021,10,4.5862,2.1787,0.689,3.2358,5.9366,6.657,9.304086715197096e-05,soft,80.0
horizon,2022,10,0.8855,1.4704,0.465,-0.0259,1.7968,1.904,0.08926128688057469,soft,80.0
horizon,2023,10,1.3973,1.2421,0.3928,0.6275,2.1672,3.558,0.006143075106117026,soft,80.0
horizon,2024,10,2.5261,1.7669,0.5588,1.4309,3.6213,4.521,0.001444847582606949,soft,80.0
horizon,2025,10,3.0814,0.6947,0.2197,2.6508,3.512,14.026,2.0180419529098953e-07,soft,80.0
horizon,ALL_5yr_mean,10,2.4953,0.7859,0.2485,2.0082,2.9824,10.041,3.458629750374964e-06,soft,80.0
