time,m_dot,cost_eur,true_cost_eur
2021-01-01 00:00:00+00:00,80.0,63794.82159251357,63521.539973515006
2021-01-01 01:00:00+00:00,80.0,63794.07391597087,63527.45408031511
2021-01-01 02:00:00+00:00,80.0,63793.548523938305,63533.58607702321
2021-01-01 03:00:00+00:00,80.0,63793.56873132417,63540.2591914869
2021-01-01 04:00:00+00:00,80.0,63794.235575057806,63547.57412743787
2021-01-01 05:00:00+00:00,80.0,63795.00345572079,63554.98505289115
2021-01-01 06:00:00+00:00,80.0,63795.99361762831,63562.613098368856
2021-01-01 07:00:00+00:00,80.0,63795.93299547071,63569.18593893766
2021-01-01 08:00:00+00:00,80.0,63796.276521030464,63576.157859945626
2021-01-01 09:00:00+00:00,75.0,59816.29833880211,59616.13900320048
2021-01-01 10:00:00+00:00,65.0,51848.91163430094,51680.806418147724
2021-01-01 11:00:00+00:00,65.0,51851.77088182809,51689.032767544384
2021-01-01 12:00:00+00:00,60.0,47864.27071797303,47719.003113001374
2021-01-01 13:00:00+00:00,60.0,47864.5420077709,47724.224259655115
2021-01-01 14:00:00+00:00,55.0,43880.91704077997,43756.81631498886
2021-01-01 15:00:00+00:00,40.0,31918.61695345503,31831.64460266253
2021-01-01 16:00:00+00:00,10.0,7982.193271155648,7961.266734667409
2021-01-01 17:00:00+00:00,10.0,7981.592096837827,7961.488934821269
2021-01-01 18:00:00+00:00,10.0,7982.281679143563,7962.997822316377
2021-01-01 19:00:00+00:00,10.0,7982.079603742615,7963.616944761336
2021-01-01 20:00:00+00:00,45.0,35907.41742945774,35828.06472967345
2021-01-01 21:00:00+00:00,55.0,43880.6102141631,43788.1552314245
2021-01-01 22:00:00+00:00,80.0,63797.42834202493,63669.61196536237
2021-01-01 23:00:00+00:00,80.0,63797.32730509559,63676.069307245314
2021-01-02 00:00:00+00:00,80.0,63795.95320285657,63681.25414266382
2021-01-02 01:00:00+00:00,80.0,63795.60967729682,63687.461056133136
2021-01-02 02:00:00+00:00,80.0,63795.44801820988,63693.8445161848
2021-01-02 03:00:00+00:00,80.0,63795.56926252509,63700.50498714447
2021-01-02 04:00:00+00:00,80.0,63795.97341024244,63707.442307339894
2021-01-02 05:00:00+00:00,80.0,63806.33979919264,63724.28681619567
2021-01-02 06:00:00+00:00,80.0,63798.53974824766,63723.051416948474
2021-01-02 07:00:00+00:00,60.0,47867.9466947342,47816.117069743785
2021-01-02 08:00:00+00:00,55.0,43883.83803017257,43840.77631215558
2021-01-02 09:00:00+00:00,50.0,39897.19720246043,39862.099501215256
2021-01-02 10:00:00+00:00,50.0,39897.363271892595,39866.326847312535
2021-01-02 11:00:00+00:00,45.0,35910.32943830528,35886.033239992976
2021-01-02 12:00:00+00:00,50.0,39897.19720246043,39874.27772977648
2021-01-02 13:00:00+00:00,55.0,43885.83853971456,43865.0933533556
2021-01-02 14:00:00+00:00,50.0,39898.75825512275,39883.93265276914
2021-01-02 15:00:00+00:00,10.0,7983.074822131128,7980.895977868235
2021-01-02 16:00:00+00:00,10.0,7983.486551692963,7982.113062355486
2021-01-02 17:00:00+00:00,10.0,7983.751774589525,7983.183995823286
2021-01-02 18:00:00+00:00,40.0,31922.558335951242,31923.60968664541
2021-01-02 19:00:00+00:00,45.0,35911.58170894274,35916.40644987838
2021-01-02 20:00:00+00:00,50.0,39899.24539212376,39908.659109581946
2021-01-02 21:00:00+00:00,55.0,43882.95436951598,43897.79375636553
2021-01-02 22:00:00+00:00,65.0,51852.53435013813,51875.38560502491
2021-01-02 23:00:00+00:00,80.0,63796.68067213679,63831.43550182426
2021-01-03 00:00:00+00:00,80.0,63795.306569806584,63836.51664484203
2021-01-03 01:00:00+00:00,80.0,63793.831430540326,63841.49364610624
2021-01-03 02:00:00+00:00,80.0,63793.24541315029,63847.347709787886
2021-01-03 03:00:00+00:00,80.0,63793.083754063344,63853.617882661885
2021-01-03 04:00:00+00:00,80.0,63793.81121995459,63860.76428484657
2021-01-03 05:00:00+00:00,80.0,63794.21536444659,63867.58570795874
