time,m_dot,cost_eur,true_cost_eur
2021-01-01 00:00:00+00:00,80.0,63521.542281945076,63521.53997351501
2021-01-01 01:00:00+00:00,80.0,63527.45635009082,63527.45408031511
2021-01-01 02:00:00+00:00,80.0,63533.588320477706,63533.5860770232
2021-01-01 03:00:00+00:00,80.0,63540.261432827334,63540.2591914869
2021-01-01 04:00:00+00:00,80.0,63547.57639871189,63547.57412743785
2021-01-01 05:00:00+00:00,80.0,63554.98735740785,63554.98505289114
2021-01-01 06:00:00+00:00,80.0,63562.61544835501,63562.61309836884
2021-01-01 07:00:00+00:00,80.0,63569.18828063671,63569.185938937655
2021-01-01 08:00:00+00:00,80.0,63576.16022083275,63576.15785994562
2021-01-01 09:00:00+00:00,80.0,63592.77640298945,63592.77357780097
2021-01-01 10:00:00+00:00,80.0,63613.7634295456,63613.759938618365
2021-01-01 11:00:00+00:00,80.0,63624.227064185296,63624.22340041116
2021-01-01 12:00:00+00:00,80.0,63633.93800664142,63633.93419664401
2021-01-01 13:00:00+00:00,80.0,63640.940180204416,63640.93635736549
2021-01-01 14:00:00+00:00,80.0,63656.97197453808,63656.96771605104
2021-01-01 15:00:00+00:00,80.0,63676.160782388426,63676.155937761105
2021-01-01 16:00:00+00:00,80.0,63690.13905620953,63690.13387733929
2021-01-01 17:00:00+00:00,80.0,63691.91642298476,63691.91147857014
2021-01-01 18:00:00+00:00,80.0,63703.98777704553,63703.98257853102
2021-01-01 19:00:00+00:00,80.0,63708.94067857955,63708.93555809067
2021-01-01 20:00:00+00:00,80.0,63707.2023660821,63707.19762858358
2021-01-01 21:00:00+00:00,80.0,63702.48223336024,63702.47802542803
2021-01-01 22:00:00+00:00,80.0,63669.61434912661,63669.61196536237
2021-01-01 23:00:00+00:00,80.0,63676.0716863208,63676.06930724532
2021-01-02 00:00:00+00:00,80.0,63681.2564538629,63681.25414266382
2021-01-02 01:00:00+00:00,80.0,63687.46334898858,63687.461056133136
2021-01-02 02:00:00+00:00,80.0,63693.8467978108,63693.8445161848
2021-01-02 03:00:00+00:00,80.0,63700.50727587793,63700.50498714446
2021-01-02 04:00:00+00:00,80.0,63707.44460822118,63707.442307339894
2021-01-02 05:00:00+00:00,80.0,63724.28958960788,63724.28681619568
2021-01-02 06:00:00+00:00,80.0,63723.05383182219,63723.05141694848
2021-01-02 07:00:00+00:00,80.0,63763.96294316147,63763.95895657265
2021-01-02 08:00:00+00:00,80.0,63779.61525439385,63779.61084497095
2021-01-02 09:00:00+00:00,80.0,63791.94443322151,63791.9397548976
2021-01-02 10:00:00+00:00,80.0,63798.74291096208,63798.73821963239
2021-01-02 11:00:00+00:00,80.0,63810.95899775226,63810.95405443833
2021-01-02 12:00:00+00:00,80.0,63811.42218701841,63811.41753216637
2021-01-02 13:00:00+00:00,80.0,63815.35611073381,63815.35157372489
2021-01-02 14:00:00+00:00,80.0,63827.21445619431,63827.20968437642
2021-01-02 15:00:00+00:00,80.0,63847.17320228148,63847.16782294586
2021-01-02 16:00:00+00:00,80.0,63856.91001676191,63856.90449884389
2021-01-02 17:00:00+00:00,80.0,63865.47757507914,63865.47196658629
2021-01-02 18:00:00+00:00,80.0,63861.12416635201,63861.11905629087
2021-01-02 19:00:00+00:00,80.0,63865.25214322543,63865.24714849414
2021-01-02 20:00:00+00:00,80.0,63866.87055097317,63866.865779834756
2021-01-02 21:00:00+00:00,80.0,63862.35295414164,63862.34868563332
2021-01-02 22:00:00+00:00,80.0,63853.626732910256,63853.62315726836
2021-01-02 23:00:00+00:00,80.0,63831.437783446956,63831.43550182424
2021-01-03 00:00:00+00:00,80.0,63836.518861590965,63836.51664484201
2021-01-03 01:00:00+00:00,80.0,63841.49579258351,63841.49364610624
