time,m_dot,cost_eur,true_cost_eur
2021-01-01 00:00:00+00:00,48.0,38109.237254212814,38109.23584941536
2021-01-01 01:00:00+00:00,48.0,38112.84247144248,38112.84108912936
2021-01-01 02:00:00+00:00,48.0,38116.56175318593,38116.56038507377
2021-01-01 03:00:00+00:00,48.0,38120.5648340886,38120.56346460531
2021-01-01 04:00:00+00:00,48.0,38124.904595054686,38124.90320764633
2021-01-01 05:00:00+00:00,48.0,38129.294408319016,38129.29299815408
2021-01-01 06:00:00+00:00,48.0,38133.79787947043,38133.79644215935
2021-01-01 07:00:00+00:00,48.0,38137.7468785862,38137.74544210398
2021-01-01 08:00:00+00:00,48.0,38141.90509096228,38141.90364373994
2021-01-01 09:00:00+00:00,48.0,38151.12718059708,38151.125448888146
2021-01-01 10:00:00+00:00,48.0,38162.64406524976,38162.64192433644
2021-01-01 11:00:00+00:00,48.0,38168.63471967039,38168.632470191325
2021-01-01 12:00:00+00:00,48.0,38174.229773987005,38174.22743732694
2021-01-01 13:00:00+00:00,48.0,38178.402096107784,38178.399746119685
2021-01-01 14:00:00+00:00,48.0,38187.315556109614,38187.312934390124
2021-01-01 15:00:00+00:00,48.0,38197.8864151579,38197.883438896475
2021-01-01 16:00:00+00:00,48.0,38205.72085711575,38205.71767132107
2021-01-01 17:00:00+00:00,48.0,38207.148200315954,38207.145152875804
2021-01-01 18:00:00+00:00,48.0,38213.98060283849,38213.977399864234
2021-01-01 19:00:00+00:00,48.0,38217.07472560325,38217.07156984721
2021-01-01 20:00:00+00:00,48.0,38216.65491408493,38216.651991910825
2021-01-01 21:00:00+00:00,48.0,38214.668982044124,38214.666386290264
2021-01-01 22:00:00+00:00,48.0,38197.90219478476,38197.90072334359
2021-01-01 23:00:00+00:00,48.0,38201.7848987903,38201.78343256453
2021-01-02 00:00:00+00:00,48.0,38204.999026131816,38204.997599067356
2021-01-02 01:00:00+00:00,48.0,38208.749524984174,38208.74810976525
2021-01-02 02:00:00+00:00,48.0,38212.59238699026,38212.59097637769
2021-01-02 03:00:00+00:00,48.0,38216.58036521658,38216.57895310251
2021-01-02 04:00:00+00:00,48.0,38220.71337910659,38220.71195541624
2021-01-02 05:00:00+00:00,48.0,38230.04859045992,38230.046875810614
2021-01-02 06:00:00+00:00,48.0,38229.88917810563,38229.887687558985
2021-01-02 07:00:00+00:00,48.0,38251.85987864312,38251.85741354079
2021-01-02 08:00:00+00:00,48.0,38260.567769584726,38260.56504823737
2021-01-02 09:00:00+00:00,48.0,38267.530324044405,38267.52744050639
2021-01-02 10:00:00+00:00,48.0,38271.58833927618,38271.585449736616
2021-01-02 11:00:00+00:00,48.0,38278.490819690225,38278.487775101115
2021-01-02 12:00:00+00:00,48.0,38279.221460184766,38279.21859165403
2021-01-02 13:00:00+00:00,48.0,38281.774255909724,38281.77145693677
2021-01-02 14:00:00+00:00,48.0,38288.487856320426,38288.48490733957
