time,m_dot,cost_eur,true_cost_eur
2021-01-01 00:00:00+00:00,80.0,64019.59765830427,63521.539973515006
2021-01-01 01:00:00+00:00,80.0,64018.8605333814,63527.45408031511
2021-01-01 02:00:00+00:00,80.0,64018.34255370587,63533.58607702321
2021-01-01 03:00:00+00:00,80.0,64018.36247600108,63540.2591914869
2021-01-01 04:00:00+00:00,80.0,64019.019911743104,63547.57412743787
2021-01-01 05:00:00+00:00,80.0,64019.776958961185,63554.98505289115
2021-01-01 06:00:00+00:00,80.0,64020.75315142661,63562.613098368856
2021-01-01 07:00:00+00:00,80.0,64020.69338454097,63569.18593893766
2021-01-01 08:00:00+00:00,80.0,64021.03206355959,63576.157859945626
2021-01-01 09:00:00+00:00,75.0,60026.90381523231,59616.13900320048
2021-01-01 10:00:00+00:00,65.0,52031.32182022657,51680.806418147724
2021-01-01 11:00:00+00:00,65.0,52034.14072817185,51689.032767544384
2021-01-01 12:00:00+00:00,60.0,48032.59662568186,47719.003113001374
2021-01-01 13:00:00+00:00,60.0,48032.86408798087,47724.224259655115
2021-01-01 14:00:00+00:00,55.0,44035.14051533014,43756.81631498886
2021-01-01 15:00:00+00:00,40.0,32030.705795714108,31831.64460266253
2021-01-01 16:00:00+00:00,10.0,8010.179671113342,7961.266734667409
2021-01-01 17:00:00+00:00,10.0,8009.586977963224,7961.488934821269
2021-01-01 18:00:00+00:00,10.0,8010.266831870712,7962.997822316377
2021-01-01 19:00:00+00:00,10.0,8010.067607282437,7963.616944761336
2021-01-01 20:00:00+00:00,45.0,36033.53185782289,35828.06472967345
2021-01-01 21:00:00+00:00,55.0,44034.83801757021,43788.1552314245
2021-01-01 22:00:00+00:00,80.0,64022.167634386715,63669.61196536237
2021-01-01 23:00:00+00:00,80.0,64022.06802291065,63676.069307245314
2021-01-02 00:00:00+00:00,80.0,64118.03352445566,63681.25414266382
2021-01-02 01:00:00+00:00,80.0,64117.69582329937,63687.461056133136
2021-01-02 02:00:00+00:00,80.0,64117.53690510818,63693.8445161848
2021-01-02 03:00:00+00:00,80.0,64117.656093751575,63700.50498714447
2021-01-02 04:00:00+00:00,80.0,64118.053389229564,63707.442307339894
2021-01-02 05:00:00+00:00,80.0,64128.24401823991,63724.28681619567
2021-01-02 06:00:00+00:00,80.0,64120.576215514775,63723.051416948474
2021-01-02 07:00:00+00:00,60.0,48109.151165342606,47816.117069743785
2021-01-02 08:00:00+00:00,55.0,44104.85927115481,43840.77631215558
2021-01-02 09:00:00+00:00,50.0,40098.07813562988,39862.099501215256
2021-01-02 10:00:00+00:00,50.0,40098.24138928321,39866.326847312535
2021-01-02 11:00:00+00:00,45.0,36091.07392561755,35886.033239992976
2021-01-02 12:00:00+00:00,50.0,40098.07813562988,39874.27772977648
2021-01-02 13:00:00+00:00,55.0,44106.8258524299,43865.0933533556
2021-01-02 14:00:00+00:00,50.0,40099.61271997118,39883.93265276914
2021-01-02 15:00:00+00:00,10.0,8023.189387633252,7980.895977868235
2021-01-02 16:00:00+00:00,10.0,8023.594136667504,7982.113062355486
2021-01-02 17:00:00+00:00,10.0,8023.854862905193,7983.183995823286
2021-01-02 18:00:00+00:00,40.0,32083.181691473168,31923.60968664541
2021-01-02 19:00:00+00:00,45.0,36092.30496777103,35916.40644987838
2021-01-02 20:00:00+00:00,50.0,40100.09160176315,39908.659109581946
2021-01-02 21:00:00+00:00,55.0,44103.99059318702,43897.79375636553
2021-01-02 22:00:00+00:00,65.0,52113.913927896065,51875.38560502491
2021-01-02 23:00:00+00:00,80.0,64118.748656316035,63831.43550182426
2021-01-03 00:00:00+00:00,80.0,64192.47158076808,63836.51664484203
2021-01-03 01:00:00+00:00,80.0,64191.02467219427,63841.49364610624
2021-01-03 02:00:00+00:00,80.0,64190.44987158775,63847.347709787886
2021-01-03 03:00:00+00:00,80.0,64190.29130905345,63853.617882661885
2021-01-03 04:00:00+00:00,80.0,64191.004854682236,63860.76428484657
2021-01-03 05:00:00+00:00,80.0,64191.40126892045,63867.58570795874
2021-01-03 06:00:00+00:00,80.0,64192.88782231375,63875.50290251117
2021-01-03 07:00:00+00:00,80.0,64193.224777764975,63882.25478149541
2021-01-03 08:00:00+00:00,80.0,64194.572582826164,63890.022041897195
2021-01-03 09:00:00+00:00,70.0,56185.13296697954,55924.38513853021
2021-01-03 10:00:00+00:00,70.0,56185.27878788929,55930.12760379789
2021-01-03 11:00:00+00:00,70.0,56185.44081589967,55935.88243239132
2021-01-03 12:00:00+00:00,75.0,60199.742474827115,59938.353913692474
2021-01-03 13:00:00+00:00,75.0,60198.38210838767,59942.9647330701
2021-01-03 14:00:00+00:00,70.0,56185.32740060607,55952.51882504523
