time,m_dot,cost_eur,true_cost_eur
2021-01-01 00:00:00+00:00,80.0,63521.542281945076,63521.539973515006
2021-01-01 01:00:00+00:00,80.0,63520.79402548331,63527.45408031511
2021-01-01 02:00:00+00:00,80.0,63520.268225940046,63533.58607702321
2021-01-01 03:00:00+00:00,80.0,63520.2884489994,63540.2591914869
2021-01-01 04:00:00+00:00,80.0,63520.955806731465,63547.57412743787
2021-01-01 05:00:00+00:00,80.0,63521.72428293603,63554.98505289115
2021-01-01 06:00:00+00:00,80.0,63522.71521277878,63562.613098368856
2021-01-01 07:00:00+00:00,80.0,63522.65454360473,63569.18593893766
2021-01-01 08:00:00+00:00,80.0,63522.99833895313,63576.157859945626
2021-01-01 09:00:00+00:00,75.0,59560.10568982892,59616.13900320048
2021-01-01 10:00:00+00:00,65.0,51626.88429356349,51680.806418147724
2021-01-01 11:00:00+00:00,65.0,51629.74575801317,51689.032767544384
2021-01-01 12:00:00+00:00,60.0,47659.325291438945,47719.003113001374
2021-01-01 13:00:00+00:00,60.0,47659.59679153541,47724.224259655115
2021-01-01 14:00:00+00:00,55.0,43693.05452911345,43756.81631498886
2021-01-01 15:00:00+00:00,40.0,31781.9936873872,31831.64460266253
2021-01-01 16:00:00+00:00,10.0,7948.039396863453,7961.266734667409
2021-01-01 17:00:00+00:00,10.0,7947.437758054755,7961.488934821269
2021-01-01 18:00:00+00:00,10.0,7948.12787315885,7962.997822316377
2021-01-01 19:00:00+00:00,10.0,7947.925640705511,7963.616944761336
2021-01-01 20:00:00+00:00,45.0,35753.71546870841,35828.06472967345
2021-01-01 21:00:00+00:00,55.0,43692.747464687316,43788.1552314245
2021-01-01 22:00:00+00:00,80.0,63524.15105333644,63669.61196536237
2021-01-01 23:00:00+00:00,80.0,63524.04993803966,63676.069307245314
2021-01-02 00:00:00+00:00,80.0,63681.2564538629,63681.25414266382
2021-01-02 01:00:00+00:00,80.0,63680.91430842709,63687.461056133136
2021-01-02 02:00:00+00:00,80.0,63680.75329881024,63693.8445161848
2021-01-02 03:00:00+00:00,80.0,63680.874056022876,63700.50498714447
2021-01-02 04:00:00+00:00,80.0,63681.27658006501,63707.442307339894
2021-01-02 05:00:00+00:00,80.0,63691.60132174563,63724.28681619567
